 21  178.886252 2.671E-29 3.107E-06.06890.088 2733.05620.740.000232       2 0 0 03       0 0 0 11                    P 31e     3666632029 9 9 711    61.0   63.0
 21  179.973503 3.143E-29 3.137E-06.06940.089 2685.85500.730.000190       2 0 0 03       0 0 0 11                    P 29e     3666632029 9 9 711    57.0   59.0
 21  181.091019 3.630E-29 3.171E-06.06990.091 2641.74560.730.000146       2 0 0 03       0 0 0 11                    P 27e     3666632029 9 9 711    53.0   55.0
 21  181.429964 1.055E-30 2.689E-06.08470.116 3011.76390.690.001047       2 1 1 03       0 1 1 11                    R  4e     3666632029 9 9 711    11.0    9.0
 21  182.239019 4.109E-29 3.209E-06.07050.093 2600.72850.720.000098       2 0 0 03       0 0 0 11                    P 25e     3666632029 9 9 711    49.0   51.0
 21  182.284057 1.257E-30 2.781E-06.08340.114 3015.65770.680.001013       2 1 1 03       0 1 1 11                    R  5f     3666632029 9 9 711    13.0   11.0
 21  183.069364 1.469E-30 2.898E-06.08220.112 3020.29100.680.000979       2 1 1 03       0 1 1 11                    R  6e     3666632029 9 9 711    15.0   13.0
 21  183.417707 4.556E-29 3.250E-06.07120.095 2562.80420.720.000047       2 0 0 03       0 0 0 11                    P 23e     3666632029 9 9 711    45.0   47.0
 21  183.961354 1.638E-30 2.948E-06.08110.111 3025.75050.680.000944       2 1 1 03       0 1 1 11                    R  7f     3666632029 9 9 711    17.0   15.0
 21  184.627272 4.941E-29 3.296E-06.07200.096 2527.97360.71-.000008       2 0 0 03       0 0 0 11                    P 21e     3666632029 9 9 711    41.0   43.0
 21  184.736044 1.830E-30 3.054E-06.08010.109 3031.91820.680.000910       2 1 1 03       0 1 1 11                    R  8e     3666632029 9 9 711    19.0   17.0
 21  185.671696 1.959E-30 3.082E-06.07910.108 3038.94820.680.000877       2 1 1 03       0 1 1 11                    R  9f     3666632029 9 9 711    21.0   19.0
 21  185.867883 5.236E-29 3.348E-06.07300.098 2496.23730.70-.000067       2 0 0 03       0 0 0 11                    P 19e     3666632029 9 9 711    37.0   39.0
 21  186.429929 2.126E-30 3.188E-06.07820.107 3046.64580.680.000845       2 1 1 03       0 1 1 11                    R 10e     3666632029 9 9 711    23.0   21.0
 21  187.139691 5.408E-29 3.406E-06.07400.100 2467.59570.70-.000131       2 0 0 03       0 0 0 11                    P 17e     3666632029 9 9 711    33.0   35.0
 21  187.414982 2.211E-30 3.204E-06.07740.105 3055.25100.680.000814       2 1 1 03       0 1 1 11                    R 11f     3666632029 9 9 711    25.0   23.0
 21  188.150934 2.351E-30 3.317E-06.07660.104 3064.47340.680.000785       2 1 1 03       0 1 1 11                    R 12e     3666632029 9 9 711    27.0   25.0
 21  188.442833 5.431E-29 3.471E-06.07520.102 2442.04910.69-.000199       2 0 0 03       0 0 0 11                    P 15e     3666632029 9 9 711    29.0   31.0
 21  189.191099 2.389E-30 3.323E-06.07590.103 3074.65840.680.000756       2 1 1 03       0 1 1 11                    R 13f     3666632029 9 9 711    29.0   27.0
 21  189.777426 5.280E-29 3.544E-06.07660.104 2419.59810.68-.000273       2 0 0 03       0 0 0 11                    P 13e     3666632029 9 9 711    25.0   27.0
 21  189.898965 2.498E-30 3.443E-06.07520.102 3085.40060.690.000728       2 1 1 03       0 1 1 11                    R 14e     3666632029 9 9 711    31.0   29.0
 21  190.999917 2.490E-30 3.441E-06.07460.101 3097.17020.690.000701       2 1 1 03       0 1 1 11                    R 15f     3666632029 9 9 711    33.0   31.0
 21  191.143569 4.940E-29 3.629E-06.07820.107 2400.24320.68-.000353       2 0 0 03       0 0 0 11                    P 11e     3666632029 9 9 711    21.0   23.0
 21  191.673913 2.569E-30 3.570E-06.07400.100 3109.42750.700.000676       2 1 1 03       0 1 1 11                    R 16e     3666632029 9 9 711    35.0   33.0
 21  192.541344 4.406E-29 3.732E-06.08010.109 2383.98440.68-.000440       2 0 0 03       0 0 0 11                    P  9e     3666632029 9 9 711    17.0   19.0
 21  192.841291 2.516E-30 3.560E-06.07350.099 3122.78590.700.000651       2 1 1 03       0 1 1 11                    R 17f     3666632029 9 9 711    37.0   35.0
 21  193.475660 2.566E-30 3.700E-06.07300.098 3136.55300.700.000627       2 1 1 03       0 1 1 11                    R 18e     3666632029 9 9 711    39.0   37.0
 21  193.970812 3.682E-29 3.865E-06.08220.112 2370.82230.68-.000534       2 0 0 03       0 0 0 11                    P  7e     3666632029 9 9 711    13.0   15.0
 21  194.715060 2.475E-30 3.683E-06.07250.097 3151.50490.710.000604       2 1 1 03       0 1 1 11                    R 19f     3666632029 9 9 711    41.0   39.0
 21  195.304078 2.497E-30 3.832E-06.07200.096 3166.77730.710.000582       2 1 1 03       0 1 1 11                    R 20e     3666632029 9 9 711    43.0   41.0
 21  195.432018 2.786E-29 4.065E-06.08470.116 2360.75680.69-.000633       2 0 0 03       0 0 0 11                    P  5e     3666632029 9 9 711     9.0   11.0
