# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -690.30000000 ps, Average over 10000 waveforms. Timestamp: 2020-02-17T17:16:37
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-682.63333328	-0.00071682
-682.59999994	-0.00077121
-682.56666661	-0.00082969
-682.53333328	-0.00089273
-682.49999994	-0.00086284
-682.46666661	-0.00094122
-682.43333327	-0.00096997
-682.39999994	-0.00104205
-682.36666661	-0.00108210
-682.33333327	-0.00111852
-682.29999994	-0.00113241
-682.26666661	-0.00116207
-682.23333327	-0.00120909
-682.19999994	-0.00122695
-682.16666661	-0.00129342
-682.13333327	-0.00130223
-682.09999994	-0.00132301
-682.06666660	-0.00136915
-682.03333327	-0.00139690
-681.99999994	-0.00141446
-681.96666660	-0.00148996
-681.93333327	-0.00153362
-681.89999994	-0.00154832
-681.86666660	-0.00159026
-681.83333327	-0.00163700
-681.79999994	-0.00170716
-681.76666660	-0.00174271
-681.73333327	-0.00182808
-681.69999994	-0.00189201
-681.66666660	-0.00192093
-681.63333327	-0.00195691
-681.59999993	-0.00201534
-681.56666660	-0.00207405
-681.53333327	-0.00211162
-681.49999993	-0.00217963
-681.46666660	-0.00223894
-681.43333327	-0.00226581
-681.39999993	-0.00230055
-681.36666660	-0.00227656
-681.33333327	-0.00233416
-681.29999993	-0.00235394
-681.26666660	-0.00236623
-681.23333327	-0.00236637
-681.19999993	-0.00238135
-681.16666660	-0.00236651
-681.13333326	-0.00235672
-681.09999993	-0.00235891
-681.06666660	-0.00232392
-681.03333326	-0.00234584
-680.99999993	-0.00233867
-680.96666660	-0.00227902
-680.93333326	-0.00222570
-680.89999993	-0.00211582
-680.86666660	-0.00206480
-680.83333326	-0.00200887
-680.79999993	-0.00192498
-680.76666659	-0.00182041
-680.73333326	-0.00174973
-680.69999993	-0.00164620
-680.66666659	-0.00156556
-680.63333326	-0.00140977
-680.59999993	-0.00129817
-680.56666659	-0.00120228
-680.53333326	-0.00114935
-680.49999993	-0.00106140
-680.46666659	-0.00094808
-680.43333326	-0.00085259
-680.39999993	-0.00079732
-680.36666659	-0.00070431
-680.33333326	-0.00063116
-680.29999992	-0.00060508
-680.26666659	-0.00053791
-680.23333326	-0.00051786
-680.19999992	-0.00048860
-680.16666659	-0.00046526
-680.13333326	-0.00042594
-680.09999992	-0.00040950
-680.06666659	-0.00045176
-680.03333326	-0.00043125
-679.99999992	-0.00041768
-679.96666659	-0.00041710
-679.93333326	-0.00046320
-679.89999992	-0.00047318
-679.86666659	-0.00046510
-679.83333325	-0.00044347
-679.79999992	-0.00045371
-679.76666659	-0.00042701
-679.73333325	-0.00039892
-679.69999992	-0.00037268
-679.66666659	-0.00035128
-679.63333325	-0.00031837
-679.59999992	-0.00022075
-679.56666659	-0.00018383
-679.53333325	-0.00014980
-679.49999992	-0.00006877
-679.46666658	0.00002190
-679.43333325	0.00015163
-679.39999992	0.00020125
-679.36666658	0.00028206
-679.33333325	0.00040768
-679.29999992	0.00046863
-679.26666658	0.00053621
-679.23333325	0.00058790
-679.19999992	0.00068714
-679.16666658	0.00063252
-679.13333325	0.00061158
-679.09999992	0.00053847
-679.06666658	0.00043522
-679.03333325	0.00027740
-678.99999991	0.00000506
-678.96666658	-0.00031570
-678.93333325	-0.00069136
-678.89999991	-0.00117058
-678.86666658	-0.00173431
-678.83333325	-0.00234344
-678.79999991	-0.00301458
-678.76666658	-0.00365840
-678.73333325	-0.00439846
-678.69999991	-0.00504334
-678.66666658	-0.00562391
-678.63333325	-0.00609163
-678.59999991	-0.00639138
-678.56666658	-0.00650755
-678.53333324	-0.00639136
-678.49999991	-0.00606219
-678.46666658	-0.00545401
-678.43333324	-0.00478058
-678.39999991	-0.00394326
-678.36666658	-0.00299885
-678.33333324	-0.00206742
-678.29999991	-0.00114391
-678.26666658	-0.00023688
-678.23333324	0.00059754
-678.19999991	0.00134771
-678.16666657	0.00197063
-678.13333324	0.00251448
-678.09999991	0.00290995
-678.06666657	0.00320006
-678.03333324	0.00336723
-677.99999991	0.00347637
-677.96666657	0.00344445
-677.93333324	0.00341886
-677.89999991	0.00329526
-677.86666657	0.00313940
-677.83333324	0.00299011
-677.79999991	0.00275577
-677.76666657	0.00250567
-677.73333324	0.00230030
-677.69999990	0.00208408
-677.66666657	0.00191748
-677.63333324	0.00178904
-677.59999990	0.00164730
-677.56666657	0.00157001
-677.53333324	0.00154188
-677.49999990	0.00156213
-677.46666657	0.00158421
-677.43333324	0.00164895
-677.39999990	0.00171757
-677.36666657	0.00180764
-677.33333324	0.00194813
-677.29999990	0.00212542
-677.26666657	0.00230678
-677.23333323	0.00256968
-677.19999990	0.00285627
-677.16666657	0.00316459
-677.13333323	0.00351152
-677.09999990	0.00392454
-677.06666657	0.00423349
-677.03333323	0.00460481
-676.99999990	0.00491000
-676.96666657	0.00521926
-676.93333323	0.00545645
-676.89999990	0.00558927
-676.86666656	0.00574782
-676.83333323	0.00577317
-676.79999990	0.00578294
-676.76666656	0.00574132
-676.73333323	0.00562987
-676.69999990	0.00546908
-676.66666656	0.00539174
-676.63333323	0.00519368
-676.59999990	0.00508346
-676.56666656	0.00488932
-676.53333323	0.00471094
-676.49999990	0.00465336
-676.46666656	0.00452300
-676.43333323	0.00448786
-676.39999989	0.00442606
-676.36666656	0.00446072
-676.33333323	0.00445686
-676.29999989	0.00450172
-676.26666656	0.00459403
-676.23333323	0.00463043
-676.19999989	0.00471860
-676.16666656	0.00478625
-676.13333323	0.00482398
-676.09999989	0.00486978
-676.06666656	0.00486422
-676.03333323	0.00497807
-675.99999989	0.00501356
-675.96666656	0.00508793
-675.93333322	0.00514083
-675.89999989	0.00515938
-675.86666656	0.00520983
-675.83333322	0.00530893
-675.79999989	0.00537170
-675.76666656	0.00542481
-675.73333322	0.00550655
-675.69999989	0.00564259
-675.66666656	0.00573665
-675.63333322	0.00582531
-675.59999989	0.00589873
-675.56666655	0.00592999
-675.53333322	0.00600450
-675.49999989	0.00605604
-675.46666655	0.00608633
-675.43333322	0.00608444
-675.39999989	0.00610948
-675.36666655	0.00607633
-675.33333322	0.00602236
-675.29999989	0.00595371
-675.26666655	0.00587070
-675.23333322	0.00576507
-675.19999989	0.00553468
-675.16666655	0.00533049
-675.13333322	0.00495930
-675.09999988	0.00446265
-675.06666655	0.00390939
-675.03333322	0.00318725
-674.99999988	0.00230729
-674.96666655	0.00129014
-674.93333322	0.00014336
-674.89999988	-0.00119583
-674.86666655	-0.00255178
-674.83333322	-0.00399497
-674.79999988	-0.00538402
-674.76666655	-0.00665057
-674.73333322	-0.00791312
-674.69999988	-0.00895706
-674.66666655	-0.00975196
-674.63333321	-0.01042824
-674.59999988	-0.01087475
-674.56666655	-0.01120926
-674.53333321	-0.01143239
-674.49999988	-0.01157418
-674.46666655	-0.01155139
-674.43333321	-0.01123070
-674.39999988	-0.01055781
-674.36666655	-0.00941877
-674.33333321	-0.00773935
-674.29999988	-0.00542826
-674.26666654	-0.00257531
-674.23333321	0.00067146
-674.19999988	0.00412119
-674.16666654	0.00748160
-674.13333321	0.01055989
-674.09999988	0.01309779
-674.06666654	0.01500934
-674.03333321	0.01621281
-673.99999988	0.01680648
-673.96666654	0.01688077
-673.93333321	0.01659383
-673.89999988	0.01607113
-673.86666654	0.01557582
-673.83333321	0.01533408
-673.79999987	0.01536609
-673.76666654	0.01581491
-673.73333321	0.01671708
-673.69999987	0.01806414
-673.66666654	0.01966794
-673.63333321	0.02143694
-673.59999987	0.02321932
-673.56666654	0.02488511
-673.53333321	0.02642278
-673.49999987	0.02778900
-673.46666654	0.02907914
-673.43333320	0.03019293
-673.39999987	0.03128335
-673.36666654	0.03227780
-673.33333320	0.03328212
-673.29999987	0.03427998
-673.26666654	0.03528296
-673.23333320	0.03630664
-673.19999987	0.03744213
-673.16666654	0.03865509
-673.13333320	0.04000368
-673.09999987	0.04152330
-673.06666654	0.04319183
-673.03333320	0.04517824
-672.99999987	0.04734927
-672.96666653	0.04982941
-672.93333320	0.05261548
-672.89999987	0.05570799
-672.86666653	0.05920860
-672.83333320	0.06309102
-672.79999987	0.06733332
-672.76666653	0.07187152
-672.73333320	0.07668747
-672.69999987	0.08174824
-672.66666653	0.08692496
-672.63333320	0.09235415
-672.59999987	0.09785161
-672.56666653	0.10358848
-672.53333320	0.10941753
-672.49999986	0.11538553
-672.46666653	0.12155385
-672.43333320	0.12785367
-672.39999986	0.13438086
-672.36666653	0.14118426
-672.33333320	0.14831247
-672.29999986	0.15586097
